year,age,maritl,race,education,jobclass,health_ins,wage
2004,57,2. Married,2. Black,2. HS Grad,2. Information,1. Yes,97.4932940454
2008,26,2. Married,4. Other,3. Some College,2. Information,1. Yes,76.8936025176
2009,36,2. Married,3. Asian,4. College Grad,1. Industrial,1. Yes,150.6951821017
2004,48,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,176.9896504899
2004,22,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,95.230712567
2005,57,5. Separated,1. White,4. College Grad,1. Industrial,1. Yes,148.4131591026
2009,56,4. Divorced,1. White,4. College Grad,1. Industrial,2. No,40.4056652597
2007,28,3. Widowed,1. White,1. < HS Grad,2. Information,2. No,54.5981500331
2004,57,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,104.9215065337
2004,39,2. Married,1. White,2. HS Grad,1. Industrial,2. No,47.3389060963
2003,33,2. Married,1. White,1. < HS Grad,2. Information,2. No,79.8549003093
2004,50,2. Married,3. Asian,5. Advanced Degree,2. Information,2. No,82.6796372966
2005,48,2. Married,1. White,3. Some College,1. Industrial,1. Yes,160.6424754083
2006,41,2. Married,3. Asian,2. HS Grad,1. Industrial,1. Yes,109.8339856422
2003,54,2. Married,1. White,3. Some College,2. Information,1. Yes,139.0034080595
2005,54,2. Married,1. White,4. College Grad,2. Information,2. No,114.4757132903
2005,30,2. Married,1. White,2. HS Grad,2. Information,1. Yes,105.9278107751
2004,36,2. Married,1. White,3. Some College,2. Information,1. Yes,176.9896504899
2006,41,2. Married,1. White,2. HS Grad,2. Information,1. Yes,101.8243520757
2008,27,1. Never Married,2. Black,2. HS Grad,1. Industrial,1. Yes,73.7757432747
2009,63,2. Married,3. Asian,5. Advanced Degree,1. Industrial,2. No,114.4757132903
2003,49,2. Married,1. White,3. Some College,1. Industrial,1. Yes,104.9215065337
2003,49,2. Married,3. Asian,5. Advanced Degree,1. Industrial,1. Yes,134.7053751189
2006,56,2. Married,2. Black,2. HS Grad,1. Industrial,1. Yes,140.3982001619
2006,50,4. Divorced,1. White,5. Advanced Degree,2. Information,1. Yes,120.1661196354
2003,44,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,110.7826502763
2008,44,1. Never Married,1. White,1. < HS Grad,1. Industrial,2. No,87.9810327856
2009,55,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,101.8243520757
2008,28,1. Never Married,3. Asian,4. College Grad,2. Information,1. Yes,144.4794226794
2008,32,2. Married,3. Asian,4. College Grad,1. Industrial,2. No,94.0727147457
2004,49,4. Divorced,1. White,2. HS Grad,1. Industrial,2. No,72.5612283088
2007,25,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,64.1592325661
2006,28,5. Separated,1. White,1. < HS Grad,1. Industrial,1. Yes,90.4819133566
2009,34,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,169.0735400494
2007,44,2. Married,1. White,1. < HS Grad,2. Information,1. Yes,118.8843593399
2003,46,2. Married,2. Black,2. HS Grad,1. Industrial,1. Yes,118.8843593399
2003,38,2. Married,1. White,3. Some College,2. Information,2. No,23.952944479
2003,41,2. Married,1. White,3. Some College,1. Industrial,1. Yes,85.383940379
2005,64,2. Married,1. White,4. College Grad,2. Information,2. No,49.5553381215
2003,30,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,95.230712567
2007,42,2. Married,1. White,4. College Grad,2. Information,2. No,160.6424754083
2004,32,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,109.8339856422
2009,43,5. Separated,1. White,1. < HS Grad,2. Information,2. No,86.6951548289
2005,48,2. Married,1. White,4. College Grad,2. Information,2. No,66.9616443217
2003,51,2. Married,2. Black,2. HS Grad,2. Information,2. No,81.2832532843
2006,20,1. Never Married,2. Black,3. Some College,2. Information,2. No,59.0970640816
2007,36,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,163.5158639762
2003,45,4. Divorced,1. White,4. College Grad,2. Information,1. Yes,143.1349408111
2009,37,2. Married,3. Asian,4. College Grad,2. Information,1. Yes,176.9896504899
2008,46,2. Married,1. White,4. College Grad,1. Industrial,2. No,89.2428846645
2004,57,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,134.7053751189
2004,76,2. Married,1. White,3. Some College,1. Industrial,2. No,73.7757432747
2009,40,1. Never Married,1. White,4. College Grad,2. Information,2. No,114.4757132903
2009,35,5. Separated,1. White,1. < HS Grad,2. Information,2. No,73.7757432747
2007,61,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,109.8339856422
2008,42,1. Never Married,2. Black,2. HS Grad,2. Information,2. No,78.9846061809
2006,42,4. Divorced,1. White,3. Some College,1. Industrial,1. Yes,81.2832532843
2003,49,2. Married,1. White,3. Some College,2. Information,1. Yes,123.3361039621
2006,45,4. Divorced,1. White,3. Some College,1. Industrial,2. No,109.8339856422
2006,25,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,69.6190369047
2008,24,1. Never Married,1. White,2. HS Grad,2. Information,1. Yes,73.7757432747
2004,22,1. Never Married,2. Black,3. Some College,2. Information,2. No,95.230712567
2005,52,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,114.4757132903
2007,43,4. Divorced,1. White,5. Advanced Degree,1. Industrial,1. Yes,160.6424754083
2003,30,2. Married,1. White,3. Some College,2. Information,1. Yes,186.876677628
2004,47,2. Married,1. White,3. Some College,1. Industrial,1. Yes,148.4131591026
2003,47,2. Married,1. White,4. College Grad,2. Information,1. Yes,118.8843593399
2007,34,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,163.5158639762
2009,50,2. Married,1. White,3. Some College,1. Industrial,1. Yes,175.9608831304
2007,51,4. Divorced,1. White,4. College Grad,,1. Yes,281.7459705519
2004,50,2. Married,1. White,2. HS Grad,1. Industrial,2. No,61.0524210501
2009,48,2. Married,1. White,1. < HS Grad,2. Information,2. No,100.8794609188
2005,49,2. Married,1. White,2. HS Grad,2. Information,1. Yes,101.8243520757
2006,54,2. Married,1. White,3. Some College,1. Industrial,2. No,117.1468169148
2004,44,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,76.8936025176
2008,36,2. Married,1. White,4. College Grad,1. Industrial,2. No,163.5158639762
2004,50,2. Married,1. White,3. Some College,1. Industrial,1. Yes,95.230712567
2008,48,2. Married,2. Black,2. HS Grad,1. Industrial,1. Yes,111.720849361
2004,46,5. Separated,1. White,2. HS Grad,1. Industrial,2. No,94.0727147457
2004,62,2. Married,1. White,3. Some College,2. Information,1. Yes,94.0727147457
2004,38,2. Married,1. White,2. HS Grad,1. Industrial,2. No,48.185650217
2008,47,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,94.0727147457
2005,40,2. Married,1. White,3. Some College,1. Industrial,2. No,94.0727147457
2003,30,1. Never Married,2. Black,5. Advanced Degree,2. Information,1. Yes,138.2991269209
2008,52,4. Divorced,2. Black,4. College Grad,2. Information,1. Yes,95.230712567
2004,25,1. Never Married,1. White,1. < HS Grad,1. Industrial,1. Yes,82.6796372966
2009,61,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,122.2636738928
2005,45,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,82.6796372966
2009,28,2. Married,1. White,2. HS Grad,2. Information,1. Yes,113.5670895698
2008,47,4. Divorced,1. White,4. College Grad,2. Information,1. Yes,108.8745258347
2005,43,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,152.8388009912
2008,57,2. Married,3. Asian,4. College Grad,1. Industrial,1. Yes,127.1157438122
2004,40,2. Married,1. White,2. HS Grad,2. Information,2. No,68.5721657023
2006,56,2. Married,2. Black,3. Some College,2. Information,1. Yes,127.1157438122
2007,60,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,106.9218140912
2005,31,2. Married,3. Asian,5. Advanced Degree,1. Industrial,1. Yes,148.4131591026
2005,48,2. Married,1. White,2. HS Grad,1. Industrial,2. No,49.5553381215
2007,39,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,107.9039238669
2004,53,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,108.6813082373
2009,58,2. Married,1. White,4. College Grad,2. Information,2. No,154.6852929956
2004,43,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,90.4819133566
2003,39,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,73.7757432747
2003,35,2. Married,1. White,2. HS Grad,2. Information,2. No,81.2832532843
2004,47,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,272.2947832201
2007,50,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,127.1157438122
2003,38,2. Married,3. Asian,4. College Grad,2. Information,2. No,200.5432623247
2006,54,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,132.4878211261
2004,40,2. Married,1. White,2. HS Grad,2. Information,1. Yes,75.355679318
2005,43,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,103.9024706032
2006,49,2. Married,2. Black,4. College Grad,2. Information,1. Yes,141.7751723332
2005,42,2. Married,1. White,4. College Grad,2. Information,1. Yes,134.7053751189
2007,41,2. Married,1. White,4. College Grad,2. Information,1. Yes,186.876677628
2009,31,1. Never Married,1. White,4. College Grad,1. Industrial,1. Yes,109.8339856422
2008,23,2. Married,1. White,4. College Grad,1. Industrial,2. No,118.8843593399
2004,58,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,100.7642728421
2007,28,1. Never Married,1. White,3. Some College,1. Industrial,2. No,84.1000101164
2003,25,2. Married,1. White,3. Some College,1. Industrial,1. Yes,87.9810327856
2007,67,2. Married,2. Black,1. < HS Grad,2. Information,1. Yes,129.4536445766
2006,38,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,200.5432623247
2009,42,4. Divorced,2. Black,2. HS Grad,2. Information,1. Yes,107.9039238669
2009,49,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,166.3249412339
2003,41,2. Married,1. White,4. College Grad,1. Industrial,2. No,82.6796372966
2006,42,2. Married,1. White,4. College Grad,2. Information,1. Yes,148.4131591026
2006,55,2. Married,1. White,3. Some College,1. Industrial,1. Yes,99.6894636985
2003,34,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,146.4628385151
2006,47,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,129.4536445766
2005,55,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,277.601417511
2006,52,2. Married,1. White,3. Some College,1. Industrial,1. Yes,85.383940379
2005,49,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,90.7270793135
2007,34,2. Married,1. White,5. Advanced Degree,2. Information,2. No,97.4932940454
2005,39,2. Married,1. White,4. College Grad,1. Industrial,2. No,87.9810327856
2005,34,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,111.720849361
2004,30,4. Divorced,1. White,2. HS Grad,1. Industrial,1. Yes,88.9923771888
2004,63,4. Divorced,1. White,2. HS Grad,2. Information,2. No,75.0431540174
2007,23,1. Never Married,1. White,2. HS Grad,2. Information,2. No,81.2832532843
2008,25,1. Never Married,1. White,3. Some College,2. Information,1. Yes,130.9821773775
2006,39,2. Married,1. White,3. Some College,2. Information,1. Yes,148.4131591026
2004,72,2. Married,1. White,2. HS Grad,2. Information,1. Yes,92.8958447895
2008,33,2. Married,1. White,2. HS Grad,1. Industrial,2. No,128.6804882206
2006,50,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,87.9810327856
2009,36,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,94.0727147457
2008,49,2. Married,1. White,4. College Grad,2. Information,1. Yes,141.7751723332
2009,34,2. Married,1. White,4. College Grad,2. Information,1. Yes,160.6424754083
2004,32,3. Widowed,3. Asian,4. College Grad,1. Industrial,2. No,104.9215065337
2007,47,1. Never Married,1. White,3. Some College,1. Industrial,2. No,99.6894636985
2006,58,2. Married,2. Black,3. Some College,2. Information,2. No,309.5717712662
2008,36,1. Never Married,1. White,4. College Grad,1. Industrial,1. Yes,118.8843593399
2004,32,1. Never Married,3. Asian,4. College Grad,1. Industrial,1. Yes,118.8843593399
2009,39,2. Married,1. White,2. HS Grad,2. Information,1. Yes,97.4710060956
2007,63,2. Married,1. White,4. College Grad,1. Industrial,2. No,55.5361044177
2008,54,2. Married,3. Asian,2. HS Grad,1. Industrial,2. No,95.230712567
2007,51,2. Married,1. White,2. HS Grad,2. Information,1. Yes,124.7204462429
2003,42,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,75.0431540174
2005,35,2. Married,2. Black,4. College Grad,2. Information,1. Yes,99.6894636985
2007,47,2. Married,2. Black,3. Some College,2. Information,1. Yes,130.9821773775
2005,46,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,91.6992261117
2003,46,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,117.1468169148
2007,43,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,65.1108537153
2003,26,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,99.6894636985
2009,26,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,160.6436381718
2009,52,2. Married,2. Black,2. HS Grad,1. Industrial,2. No,61.187526434
2004,48,2. Married,1. White,4. College Grad,2. Information,1. Yes,114.4757132903
2006,34,2. Married,1. White,3. Some College,2. Information,1. Yes,145.1436011769
2009,33,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,267.9010868553
2007,47,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,107.9039238669
2003,43,2. Married,1. White,4. College Grad,1. Industrial,2. No,73.7757432747
2006,64,2. Married,1. White,3. Some College,2. Information,1. Yes,114.4757132903
2005,31,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,102.8702469332
,41,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,130.9821773775
2004,46,1. Never Married,1. White,2. HS Grad,2. Information,2. No,87.9810327856
2008,37,5. Separated,2. Black,3. Some College,2. Information,2. No,97.4932940454
2009,47,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,152.8388009912
2006,40,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,198.3502904644
2008,49,1. Never Married,1. White,1. < HS Grad,1. Industrial,1. Yes,81.2832532843
2006,48,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,109.8339856422
2003,42,2. Married,,5. Advanced Degree,2. Information,1. Yes,148.4131591026
2006,31,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,99.6894636985
2004,56,2. Married,1. White,3. Some College,2. Information,1. Yes,118.8843593399
2003,46,4. Divorced,1. White,3. Some College,1. Industrial,2. No,126.3238807098
2003,19,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,51.9036962666
2004,37,1. Never Married,1. White,3. Some College,2. Information,1. Yes,109.8339856422
2003,21,1. Never Married,1. White,1. < HS Grad,1. Industrial,2. No,75.0431540174
2007,44,2. Married,1. White,4. College Grad,2. Information,1. Yes,160.6424754083
2009,27,2. Married,1. White,3. Some College,2. Information,1. Yes,81.2832532843
2008,62,2. Married,1. White,2. HS Grad,1. Industrial,2. No,89.492479518
2006,23,2. Married,1. White,4. College Grad,2. Information,1. Yes,75.355679318
2009,18,1. Never Married,1. White,1. < HS Grad,1. Industrial,2. No,49.5553381215
2005,40,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,109.8339856422
2006,41,2. Married,1. White,2. HS Grad,2. Information,2. No,81.2832532843
2003,52,2. Married,1. White,4. College Grad,2. Information,2. No,96.3706528322
2005,69,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,77.737603304
2005,58,4. Divorced,2. Black,2. HS Grad,2. Information,2. No,81.2832532843
2005,30,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,141.7758564663
2004,61,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,99.6894636985
2009,54,2. Married,2. Black,3. Some College,1. Industrial,1. Yes,99.6894636985
2006,56,2. Married,1. White,3. Some College,2. Information,1. Yes,99.6894636985
2009,55,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,104.9235317007
2007,42,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,99.6894636985
2005,39,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,79.8549003093
2006,61,2. Married,1. White,3. Some College,2. Information,2. No,130.9821773775
2007,38,2. Married,1. White,2. HS Grad,1. Industrial,2. No,87.9810327856
2006,48,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,118.8843593399
2008,49,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,144.1706064882
2008,22,1. Never Married,1. White,3. Some College,1. Industrial,2. No,81.2832532843
2006,39,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,148.4131591026
2006,36,1. Never Married,2. Black,3. Some College,1. Industrial,1. Yes,97.4932940454
2006,25,2. Married,1. White,2. HS Grad,2. Information,1. Yes,76.8936025176
2005,26,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,114.4757132903
2003,47,4. Divorced,1. White,3. Some College,1. Industrial,1. Yes,84.045957654
2009,50,2. Married,2. Black,2. HS Grad,1. Industrial,2. No,132.4878211261
2009,46,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,84.3157688646
2004,43,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,81.2832532843
2007,53,2. Married,3. Asian,2. HS Grad,1. Industrial,1. Yes,66.9616443217
2003,19,1. Never Married,1. White,1. < HS Grad,1. Industrial,2. No,54.5981500331
2008,33,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,87.9810327856
2006,22,2. Married,2. Black,3. Some College,2. Information,1. Yes,90.4819133566
2008,28,4. Divorced,4. Other,2. HS Grad,1. Industrial,1. Yes,76.8936025176
2003,57,2. Married,2. Black,2. HS Grad,2. Information,2. No,104.9215065337
2003,62,4. Divorced,1. White,3. Some College,1. Industrial,1. Yes,94.0727147457
2008,39,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,276.7784133212
2008,59,2. Married,3. Asian,2. HS Grad,1. Industrial,1. Yes,139.2137881387
2008,45,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,160.6424754083
2004,38,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,104.9215065337
2005,59,2. Married,1. White,2. HS Grad,2. Information,1. Yes,148.4131591026
2004,51,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,147.11668916
2006,39,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,81.2832532843
2003,65,2. Married,1. White,4. College Grad,2. Information,1. Yes,87.9810327856
2007,48,4. Divorced,1. White,1. < HS Grad,1. Industrial,1. Yes,109.8339856422
2004,35,2. Married,3. Asian,2. HS Grad,1. Industrial,2. No,65.1108537153
2007,49,2. Married,2. Black,3. Some College,2. Information,1. Yes,87.9810327856
2005,27,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,111.720849361
2009,53,2. Married,1. White,3. Some College,2. Information,1. Yes,109.8339856422
2007,36,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,87.9810327856
2003,48,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,163.5158639762
2004,56,2. Married,1. White,4. College Grad,2. Information,1. Yes,101.8243520757
2006,44,2. Married,1. White,2. HS Grad,1. Industrial,2. No,102.7662808773
2008,54,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,80.4874443595
2004,55,2. Married,3. Asian,2. HS Grad,1. Industrial,1. Yes,99.6894636985
2008,50,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,46.7632687977
2008,37,2. Married,1. White,4. College Grad,2. Information,1. Yes,161.9149513819
2006,35,2. Married,1. White,4. College Grad,2. Information,2. No,109.8339856422
2007,48,4. Divorced,1. White,2. HS Grad,2. Information,1. Yes,108.8745258347
2009,27,2. Married,1. White,3. Some College,1. Industrial,1. Yes,90.4819133566
2003,58,2. Married,1. White,3. Some College,2. Information,1. Yes,104.9215065337
2008,32,2. Married,1. White,2. HS Grad,2. Information,2. No,73.7757432747
2007,37,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,116.2653240625
2004,39,2. Married,2. Black,4. College Grad,1. Industrial,2. No,99.6894636985
2009,32,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,127.9012329791
2003,50,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,134.7053751189
2009,28,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,111.720849361
2004,45,2. Married,1. White,2. HS Grad,2. Information,2. No,87.9810327856
2004,39,2. Married,1. White,2. HS Grad,1. Industrial,2. No,109.8339856422
2005,42,2. Married,1. White,4. College Grad,1. Industrial,2. No,176.9896504899
2004,62,2. Married,1. White,4. College Grad,2. Information,1. Yes,130.9821773775
2004,43,2. Married,1. White,4. College Grad,2. Information,1. Yes,154.6852929956
2005,59,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,118.8843593399
2005,47,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,79.8549003093
2007,28,2. Married,3. Asian,2. HS Grad,1. Industrial,2. No,76.1296996371
2006,48,1. Never Married,2. Black,2. HS Grad,2. Information,1. Yes,87.9810327856
2004,54,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,127.1157438122
2003,49,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,118.8843593399
2005,36,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,132.3524777099
2008,30,5. Separated,1. White,1. < HS Grad,1. Industrial,2. No,70.8150386168
2007,46,2. Married,2. Black,2. HS Grad,2. Information,2. No,76.8936025176
2009,45,5. Separated,1. White,2. HS Grad,1. Industrial,2. No,113.5670895698
2005,32,1. Never Married,2. Black,3. Some College,2. Information,1. Yes,47.9336713297
2004,56,2. Married,1. White,4. College Grad,2. Information,1. Yes,138.2991269209
2003,39,2. Married,1. White,4. College Grad,2. Information,1. Yes,129.4536445766
2007,48,2. Married,1. White,2. HS Grad,2. Information,1. Yes,91.7016396744
2004,42,2. Married,1. White,2. HS Grad,2. Information,1. Yes,106.9218140912
2007,28,2. Married,1. White,2. HS Grad,1. Industrial,2. No,139.7030715277
2006,47,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,105.9278107751
2003,45,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,160.6424754083
2009,59,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,200.5432623247
2009,27,1. Never Married,2. Black,5. Advanced Degree,2. Information,1. Yes,102.8702469332
2007,22,1. Never Married,3. Asian,4. College Grad,2. Information,1. Yes,63.1888610037
2003,38,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,134.7053751189
2004,51,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,150.9627834621
2008,51,4. Divorced,1. White,3. Some College,1. Industrial,1. Yes,105.9278107751
2006,46,2. Married,1. White,3. Some College,2. Information,1. Yes,139.6758701627
2004,35,2. Married,1. White,2. HS Grad,2. Information,2. No,114.4757132903
2009,26,1. Never Married,1. White,3. Some College,1. Industrial,2. No,99.6894636985
2007,47,1. Never Married,2. Black,4. College Grad,2. Information,1. Yes,161.2224954568
2009,56,1. Never Married,2. Black,1. < HS Grad,2. Information,2. No,79.8549003093
2003,31,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,109.8339856422
2004,40,4. Divorced,1. White,3. Some College,1. Industrial,2. No,94.0727147457
2003,25,2. Married,1. White,2. HS Grad,1. Industrial,2. No,81.2832532843
2008,23,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,127.1157438122
2008,60,4. Divorced,1. White,4. College Grad,2. Information,1. Yes,147.11668916
2004,42,2. Married,1. White,4. College Grad,2. Information,1. Yes,166.3249412339
2008,32,2. Married,1. White,5. Advanced Degree,1. Industrial,2. No,118.8843593399
2006,25,1. Never Married,1. White,3. Some College,1. Industrial,2. No,99.6894636985
2005,47,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,128.1996368718
2009,42,2. Married,1. White,1. < HS Grad,2. Information,1. Yes,101.8243520757
2004,44,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,170.6951277113
2004,39,1. Never Married,1. White,1. < HS Grad,1. Industrial,2. No,75.355679318
2005,32,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,81.2832532843
2003,39,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,94.0727147457
2003,27,1. Never Married,1. White,3. Some College,2. Information,1. Yes,116.1766951711
2009,30,2. Married,1. White,4. College Grad,2. Information,1. Yes,102.8702469332
2008,38,2. Married,1. White,4. College Grad,2. Information,2. No,115.3750385564
2007,33,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,87.9810327856
2003,43,2. Married,3. Asian,4. College Grad,2. Information,1. Yes,154.6852929956
2008,58,2. Married,3. Asian,1. < HS Grad,2. Information,2. No,54.5981500331
2006,43,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,184.1671357996
2008,31,2. Married,1. White,3. Some College,1. Industrial,1. Yes,99.6894636985
2008,44,2. Married,1. White,3. Some College,1. Industrial,1. Yes,154.6852929956
2005,44,2. Married,1. White,3. Some College,1. Industrial,1. Yes,101.8243520757
2006,43,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,
2004,38,2. Married,1. White,2. HS Grad,2. Information,1. Yes,127.2733470065
2008,45,2. Married,1. White,3. Some College,1. Industrial,1. Yes,148.4131591026
2007,37,2. Married,1. White,3. Some College,2. Information,2. No,90.4819133566
2006,47,2. Married,1. White,2. HS Grad,2. Information,1. Yes,78.392466801
2003,52,2. Married,1. White,3. Some College,2. Information,1. Yes,70.4760196469
2003,35,2. Married,1. White,3. Some College,2. Information,2. No,76.8936025176
2007,31,2. Married,1. White,3. Some College,1. Industrial,2. No,99.6894636985
2007,49,4. Divorced,1. White,2. HS Grad,1. Industrial,1. Yes,104.5917379249
2009,41,4. Divorced,2. Black,3. Some College,2. Information,1. Yes,98.0483505056
2008,33,1. Never Married,1. White,2. HS Grad,2. Information,1. Yes,94.0727147457
2009,37,2. Married,1. White,4. College Grad,2. Information,1. Yes,98.5993438604
2007,44,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,97.4932940454
2009,40,2. Married,1. White,2. HS Grad,1. Industrial,2. No,79.8549003093
2007,39,3. Widowed,3. Asian,2. HS Grad,1. Industrial,1. Yes,73.7757432747
2003,40,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,299.262976764
2004,39,2. Married,3. Asian,1. < HS Grad,1. Industrial,1. Yes,70.4760196469
2006,26,2. Married,1. White,2. HS Grad,2. Information,1. Yes,130.9821773775
2007,30,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,101.8243520757
2004,42,4. Divorced,1. White,1. < HS Grad,2. Information,1. Yes,111.720849361
2004,33,1. Never Married,1. White,3. Some College,2. Information,1. Yes,87.9810327856
2003,40,2. Married,2. Black,3. Some College,2. Information,1. Yes,98.5993438604
2007,23,2. Married,1. White,4. College Grad,2. Information,1. Yes,79.8549003093
2007,44,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,113.6127457264
2005,45,2. Married,1. White,3. Some College,1. Industrial,2. No,81.2832532843
2006,56,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,127.1157438122
2003,48,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,109.8339856422
2003,37,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,54.5981500331
2007,20,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,81.2832532843
,33,2. Married,1. White,3. Some College,2. Information,1. Yes,92.8958447895
2005,35,2. Married,3. Asian,5. Advanced Degree,1. Industrial,1. Yes,157.7005277257
2004,52,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,134.7053751189
2005,52,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,176.9896504899
2003,46,2. Married,3. Asian,1. < HS Grad,1. Industrial,1. Yes,68.7480877338
